NAME,state,B01003_001E,B01002_001E,B19301_001E,B17001_002E
Stephens County,Oklahoma,44929,40.1,23038,6466
Texas County,Oklahoma,21157,31.3,22064,2645
Tillman County,Oklahoma,7898,40.4,18035,1529
Tulsa County,Oklahoma,609610,35.3,27676,95328
Wagoner County,Oklahoma,74077,38,24874,8279
Washington County,Oklahoma,51329,40.5,27053,7447
Washita County,Oklahoma,11631,39.3,23811,1866
Woods County,Oklahoma,8849,34.8,26022,1199
Woodward County,Oklahoma,20483,36.4,24922,2973
Baker County,Oregon,16055,47.9,23234,2801
Benton County,Oregon,85989,32.3,26738,18235
Clackamas County,Oregon,380532,40.9,32781,36946
Clatsop County,Oregon,37157,43.7,25680,5994
Columbia County,Oregon,49333,42,26271,6659
Coos County,Oregon,62753,47.6,22239,10966
Crook County,Oregon,20894,46.8,20883,4036
Curry County,Oregon,22361,53.8,23972,3341
Deschutes County,Oregon,160565,40.8,27524,23144
Douglas County,Oregon,107286,46.4,21870,19887
Gilliam County,Oregon,1915,49.4,25320,224
Grant County,Oregon,7359,50.5,23828,1255
Harney County,Oregon,7314,46.1,20865,1334
Hood River County,Oregon,22427,37.6,25181,2580
Jackson County,Oregon,205117,42.5,24378,34940
Jefferson County,Oregon,21461,40.2,21593,4074
Josephine County,Oregon,82783,47.5,21791,16540
Klamath County,Oregon,66211,42,21489,12315
Lake County,Oregon,7862,48.3,22056,1497
Lane County,Oregon,353382,39,24224,69183
Lincoln County,Oregon,46070,49.8,25194,7307
Linn County,Oregon,117648,39.1,21500,20724
Malheur County,Oregon,30898,36.6,16352,7647
Marion County,Oregon,318441,35.3,22001,57393
Morrow County,Oregon,11218,36.9,20663,2011
Multnomah County,Oregon,747641,36.1,30475,130507
Polk County,Oregon,75930,37.5,24426,12204
Sherman County,Oregon,1865,48.6,24314,408
Tillamook County,Oregon,25300,48.2,22452,3963
Umatilla County,Oregon,76306,35.7,20836,11971
Union County,Oregon,25741,39.9,22684,4672
Wallowa County,Oregon,6924,51.5,23131,917
Wasco County,Oregon,25281,41.4,22844,4502
Washington County,Oregon,539608,35.6,31078,60620
Wheeler County,Oregon,1292,55.5,24575,197
Yamhill County,Oregon,99802,37.7,24290,13784
Adams County,Pennsylvania,101496,41.9,27284,8490
Allegheny County,Pennsylvania,1226933,41.1,31593,153529
Armstrong County,Pennsylvania,68614,44.9,23661,8828
Beaver County,Pennsylvania,170382,44.5,26258,20342
Bedford County,Pennsylvania,49490,44.4,22259,6146
Berks County,Pennsylvania,412078,39.5,26723,55348
Blair County,Pennsylvania,126940,42.4,23875,17479
Bradford County,Pennsylvania,62624,43.5,23667,8166
Bucks County,Pennsylvania,625977,42.2,37466,33433
Butler County,Pennsylvania,184535,42,30957,16756
Cambria County,Pennsylvania,142448,43.9,22659,19993
Cameron County,Pennsylvania,5000,48.4,22747,646
Carbon County,Pennsylvania,65074,44.5,24861,7440
Centre County,Pennsylvania,154460,29.3,25545,28141
Chester County,Pennsylvania,503075,39.7,42210,33895
Clarion County,Pennsylvania,39720,39.9,21902,6945
Clearfield County,Pennsylvania,81536,43,21273,11078
Clinton County,Pennsylvania,39501,38.2,21875,5914
Columbia County,Pennsylvania,67021,39.8,23681,10438
Crawford County,Pennsylvania,88173,42,21741,13376
Cumberland County,Pennsylvania,237449,40.5,31791,18533
Dauphin County,Pennsylvania,269035,39.3,29234,34965
Delaware County,Pennsylvania,559771,38.8,33179,55492
Elk County,Pennsylvania,31799,45.6,23738,3260
Erie County,Pennsylvania,280518,38.6,24189,45408
Fayette County,Pennsylvania,136145,43.6,20884,24260
Forest County,Pennsylvania,7696,41.5,13646,782
Franklin County,Pennsylvania,150594,40.5,25741,16188
Fulton County,Pennsylvania,14779,42.5,23201,1624
Greene County,Pennsylvania,38362,41.5,21819,4999
Huntingdon County,Pennsylvania,45874,41.9,20739,5183
Indiana County,Pennsylvania,88404,38.7,22933,14695
Jefferson County,Pennsylvania,45015,43.1,21300,6762
Juniata County,Pennsylvania,24737,41.7,21628,2875
Lackawanna County,Pennsylvania,214275,42.1,25594,28007
Lancaster County,Pennsylvania,523306,38.2,26496,53177
Lawrence County,Pennsylvania,90374,44,22906,12667
Lebanon County,Pennsylvania,134411,41,27074,13950
Lehigh County,Pennsylvania,352068,39.4,27923,47016
Luzerne County,Pennsylvania,320827,42.8,24793,48147
Lycoming County,Pennsylvania,116604,41.2,22987,15731
McKean County,Pennsylvania,43294,42.2,22426,6667
Mercer County,Pennsylvania,116059,43.1,22831,14655
Mifflin County,Pennsylvania,46698,42.9,20794,7032
Monroe County,Pennsylvania,168947,40.6,25494,19790
Montgomery County,Pennsylvania,804621,40.8,41472,48007
Itawamba County,Mississippi,23366,40,18106,3507
Jackson County,Mississippi,139906,36.9,23879,22006
Jasper County,Mississippi,16827,41.7,18075,3688
Jefferson County,Mississippi,7690,38.3,12723,2867
Jefferson Davis County,Mississippi,12248,41.2,16216,3245
Jones County,Mississippi,68174,36.9,19519,15307
Kemper County,Mississippi,10383,36.5,13795,3178
Lafayette County,Mississippi,48905,27.7,21388,11163
Lamar County,Mississippi,56763,33.3,26345,9791
Lauderdale County,Mississippi,80337,37,21346,18367
Lawrence County,Mississippi,12734,40.5,20655,2365
Leake County,Mississippi,23519,33.5,16780,6171
Lee County,Mississippi,83964,36.3,21799,15137
Leflore County,Mississippi,31993,32.7,14307,12197
Lincoln County,Mississippi,34870,37.8,19566,8053
Lowndes County,Mississippi,59746,36.1,20951,14783
Madison County,Mississippi,97151,36.3,33170,12184
Marion County,Mississippi,26674,37.6,18126,7251
Marshall County,Mississippi,36823,39.1,17978,7739
Monroe County,Mississippi,36652,39.5,18167,7812
Montgomery County,Mississippi,10754,41.7,15523,3306
Neshoba County,Mississippi,29655,35.5,18693,6992
Newton County,Mississippi,21645,37.6,18864,3908
Noxubee County,Mississippi,11358,36.7,12780,3857
Oktibbeha County,Mississippi,48198,25.3,20202,14816
Panola County,Mississippi,34558,36.5,18073,8685
Pearl River County,Mississippi,55569,40,20549,12053
Perry County,Mississippi,12174,39.5,17183,2534
Pike County,Mississippi,40269,36.8,18183,10810
Pontotoc County,Mississippi,30207,36,18576,4171
Prentiss County,Mississippi,25354,39.3,16589,5878
Quitman County,Mississippi,8028,38.5,13954,3165
Rankin County,Mississippi,143665,36.4,26897,15966
Scott County,Mississippi,28255,35.3,16789,6894
Sharkey County,Mississippi,4889,38.8,15744,1487
Simpson County,Mississippi,27439,38.2,18314,6056
Smith County,Mississippi,16414,39.8,20334,3847
Stone County,Mississippi,17854,35.6,18576,3055
Sunflower County,Mississippi,28722,33.7,12588,8811
Tallahatchie County,Mississippi,15231,35.2,12747,3612
Tate County,Mississippi,28625,36.4,20431,4993
Tippah County,Mississippi,22080,37.9,18493,5522
Tishomingo County,Mississippi,19582,42.7,18338,3383
Tunica County,Mississippi,10660,32.2,15549,3165
Union County,Mississippi,27338,37.2,19273,6332
Walthall County,Mississippi,15265,37.2,16850,3779
Warren County,Mississippi,48389,37.7,22362,11653
Washington County,Mississippi,50578,35.5,16671,18552
Wayne County,Mississippi,20675,37.6,18928,5805
Webster County,Mississippi,10129,40.4,18728,2477
Wilkinson County,Mississippi,9653,35.8,18717,2405
Winston County,Mississippi,19052,40,18501,5522
Yalobusha County,Mississippi,12554,40.5,18750,2744
Yazoo County,Mississippi,28122,35.5,14291,8742
Adair County,Missouri,25573,29,19258,5291
Andrew County,Missouri,17319,41.9,25302,1379
Atchison County,Missouri,5605,46.2,24748,627
Audrain County,Missouri,25584,38.8,19687,4049
Barry County,Missouri,35614,42.4,19489,6695
Barton County,Missouri,12378,40.6,20678,2294
Bates County,Missouri,16878,42.1,21047,3067
Benton County,Missouri,19008,52.1,19717,3757
Bollinger County,Missouri,12408,42.1,19470,2447
Boone County,Missouri,165776,29.7,26895,31187
Buchanan County,Missouri,89419,36.8,21961,14514
Butler County,Missouri,42946,40.4,19246,8830
Caldwell County,Missouri,9249,41.7,21482,1292
Callaway County,Missouri,44276,37.9,23171,5291
Camden County,Missouri,43822,49.2,23038,6980
Cape Girardeau County,Missouri,76322,36,23751,11515
Carroll County,Missouri,9216,41.8,24073,1229
Carter County,Missouri,6260,40.5,18245,1349
Cass County,Missouri,99875,38.4,27463,8775
Cedar County,Missouri,13903,43.7,16362,3142
Chariton County,Missouri,7730,45.7,19481,1235
Christian County,Missouri,78724,36.9,25134,8229
Clark County,Missouri,7035,43.4,20279,1221
Clay County,Missouri,225116,36.3,29406,20049
Clinton County,Missouri,20659,40.8,25100,2053
Cole County,Missouri,76228,37.8,26160,9594
Cooper County,Missouri,17574,38.5,22910,2832
Crawford County,Missouri,24711,40.7,18415,5114
Dade County,Missouri,7734,46.9,20034,1564
Dallas County,Missouri,16733,42.6,18155,3758
Daviess County,Missouri,8347,40.8,19890,1206
DeKalb County,Missouri,12873,40.2,16635,922
Dent County,Missouri,15649,43.2,18544,3205
Douglas County,Missouri,13647,45.8,16404,3028
Dunklin County,Missouri,31916,39.8,17990,7960
Franklin County,Missouri,101569,39.6,24742,12495
Gasconade County,Missouri,15083,45.6,21830,2175
Gentry County,Missouri,6774,41.6,20534,1126
Greene County,Missouri,278231,35.6,23520,49571
Grundy County,Missouri,10282,42.3,19527,1573
Harrison County,Missouri,8871,43,19468,1414
Henry County,Missouri,22183,44,22394,3901
Hickory County,Missouri,9499,53.3,17361,2030
Holt County,Missouri,4771,46.5,24127,572
Howard County,Missouri,10184,39.4,21598,1725
Howell County,Missouri,40458,39.6,17416,9465
Iron County,Missouri,10505,43.1,19101,2363
Jackson County,Missouri,675641,36.3,26062,115437
Jasper County,Missouri,116803,35.2,21124,20893
Jefferson County,Missouri,219636,38.1,24792,24520
Johnson County,Missouri,53517,29.4,21547,8654
Knox County,Missouri,4099,43.8,20946,1059
Laclede County,Missouri,35535,39.1,19553,6901
Lafayette County,Missouri,33188,40.7,23637,3069
Lawrence County,Missouri,38488,39.7,19060,7025
Lewis County,Missouri,10193,38.8,19317,1419
Lincoln County,Missouri,53051,35.9,22063,7104
Linn County,Missouri,12592,42.9,21015,1871
Livingston County,Missouri,15051,41.5,21011,2441
McDonald County,Missouri,22892,36.7,17505,4948
Macon County,Missouri,15545,42.5,20054,2450
Madison County,Missouri,12350,41.2,17316,2591
Maries County,Missouri,9102,43.4,22026,1497
Marion County,Missouri,28804,39.5,21909,4425
Mercer County,Missouri,3749,43.8,20178,747
Miller County,Missouri,24863,40.6,19385,5120
Mississippi County,Missouri,14271,39.3,15558,3509
Moniteau County,Missouri,15657,37.8,19451,1615
Monroe County,Missouri,8798,44.3,20331,1268
Montgomery County,Missouri,12128,43.1,20991,2035
Morgan County,Missouri,20392,46.9,17935,4676
New Madrid County,Missouri,18695,40.6,21215,3976
Newton County,Missouri,58552,39.3,22341,8640
Nodaway County,Missouri,23347,28.3,18079,5758
Oregon County,Missouri,10935,45.2,16331,2983
Osage County,Missouri,13842,39.8,22629,1189
Ozark County,Missouri,9653,50,17215,1919
Pemiscot County,Missouri,18160,37.4,16881,5244
Perry County,Missouri,19001,39.8,23435,2223
Pettis County,Missouri,42146,37.6,19709,7594
Phelps County,Missouri,44969,33.8,21173,7558
Pike County,Missouri,18579,40.1,18650,2455
Platte County,Missouri,90842,38.2,35143,6683
Polk County,Missouri,31088,38.5,19511,7043
Pulaski County,Missouri,52795,26.9,20863,5503
Putnam County,Missouri,4944,45.2,19397,912
Ralls County,Missouri,10206,44.4,23299,987
Randolph County,Missouri,25253,38,17587,4447
Ray County,Missouri,23290,40.6,24549,2656
Reynolds County,Missouri,6661,46,18449,1586
Ripley County,Missouri,14071,42.1,16408,3442
St. Charles County,Missouri,365101,37.1,31586,20842
St. Clair County,Missouri,9649,49,17337,2054
Ste. Genevieve County,Missouri,17996,42.8,22921,2098
St. Francois County,Missouri,65602,38.7,18544,11138
St. Louis County,Missouri,999725,40,34795,106724
Saline County,Missouri,23324,38,19006,4057
Schuyler County,Missouri,4397,41.1,18160,1040
Scotland County,Missouri,4859,39.2,20363,856
Scott County,Missouri,39216,39.5,20825,7359
Shannon County,Missouri,8388,43.3,16862,2092
Shelby County,Missouri,6274,42.9,19331,1118
Stoddard County,Missouri,29860,41.9,22967,4367
Stone County,Missouri,31817,50.4,21733,5365
Sullivan County,Missouri,6611,41,19279,1102
Taney County,Missouri,52412,41.2,20231,9545
Texas County,Missouri,25830,42.2,17868,5158
Vernon County,Missouri,20990,40.8,19734,4218
Warren County,Missouri,32667,40.1,24692,4324
Washington County,Missouri,25135,40.2,17703,5586
Wayne County,Missouri,13437,46.4,18970,2897
Webster County,Missouri,36274,37.8,19955,6706
Worth County,Missouri,2129,47.8,22967,273
Wright County,Missouri,18643,40.5,14752,5063
St. Louis city,Missouri,318955,34.2,23048,84785
Beaverhead County,Montana,9278,43.2,22872,1316
Big Horn County,Montana,12939,29.6,15695,3238
Blaine County,Montana,6550,34.9,17437,1861
Broadwater County,Montana,5666,45.5,24270,592
Carbon County,Montana,10126,48.7,27599,1111
Carter County,Montana,1241,50.8,24921,166
Cascade County,Montana,81621,38.8,24727,11901
Chouteau County,Montana,5827,41.3,21737,1238
Custer County,Montana,11785,41.4,23910,1513
Daniels County,Montana,1778,50.3,31449,176
Dawson County,Montana,9132,42.3,26126,1382
Deer Lodge County,Montana,9285,45.8,22052,1824
Fallon County,Montana,3085,39,28563,179
Fergus County,Montana,11517,48.4,24429,1552
Flathead County,Montana,91536,41.7,25790,12815
Gallatin County,Montana,91499,32.8,28939,12333
Garfield County,Montana,1145,45.3,25921,120
Glacier County,Montana,13528,31,15604,4478
Golden Valley County,Montana,709,54.2,23508,147
Granite County,Montana,3105,53,26277,461
Hill County,Montana,16301,34.7,21376,3002
Jefferson County,Montana,11434,47.3,30397,870
Judith Basin County,Montana,2043,50.1,24260,254
Lake County,Montana,28905,41.2,21521,6366
Lewis and Clark County,Montana,64143,40.8,28400,6485
Liberty County,Montana,2357,48.9,25522,489
Lincoln County,Montana,19581,49.8,21719,3463
McCone County,Montana,1794,49.2,27161,131
Madison County,Montana,7702,50.5,33062,662
Meagher County,Montana,1905,44.4,20288,253
Mineral County,Montana,4219,51,19859,756
Missoula County,Montana,110243,34.3,25764,17838
Musselshell County,Montana,4729,48.2,23022,606
Park County,Montana,15621,46,24611,1903
Petroleum County,Montana,538,48.2,22714,59
Phillips County,Montana,4205,48.4,22890,580
Pondera County,Montana,6166,42.9,22256,1068
Powder River County,Montana,1669,50.1,28528,150
Powell County,Montana,7052,45.6,19736,842
Prairie County,Montana,1186,55.4,20644,250
Ravalli County,Montana,40423,46.4,22872,6753
Richland County,Montana,10318,39.4,32036,1459
Roosevelt County,Montana,10665,30.5,16888,2787
Rosebud County,Montana,9310,36.6,22229,1584
Sanders County,Montana,11400,50.5,19188,2465
Sheridan County,Montana,3473,48.7,31378,399
Silver Bow County,Montana,34322,41.6,23562,6385
Stillwater County,Montana,9173,47,28868,710
Sweet Grass County,Montana,3640,44.7,22743,488
Teton County,Montana,6063,45.3,22799,899
Toole County,Montana,5224,42.3,23162,728
Treasure County,Montana,711,51.9,23948,80
Valley County,Montana,7465,45.9,25685,977
Wheatland County,Montana,2138,48.7,17336,237
Wibaux County,Montana,928,49.7,27492,120
Yellowstone County,Montana,150156,38.3,27761,18027
Adams County,Nebraska,31367,38,25571,3796
Antelope County,Nebraska,6600,46.5,25186,712
Arthur County,Nebraska,507,37.5,17656,35
Banner County,Nebraska,816,49.2,25814,126
Blaine County,Nebraska,586,41,19141,104
Boone County,Nebraska,5441,45.9,25590,515
Box Butte County,Nebraska,11312,40.6,25046,2650
Boyd County,Nebraska,2093,51.9,23157,212
Brown County,Nebraska,3167,46.7,21843,484
Buffalo County,Nebraska,46885,32.3,24830,6046
Burt County,Nebraska,6748,47.3,25203,642
Butler County,Nebraska,8334,44.4,27673,772
Cass County,Nebraska,25222,41.5,29638,1589
Cedar County,Nebraska,8790,44.6,25738,871
Chase County,Nebraska,3984,43.3,28241,499
Cherry County,Nebraska,5735,45.1,25213,723
Cheyenne County,Nebraska,10022,39.9,28296,1380
Clay County,Nebraska,6469,43.7,23876,568
Colfax County,Nebraska,10495,34.8,23751,1593
Cuming County,Nebraska,9095,43.5,24496,1035
Custer County,Nebraska,10872,44.8,24615,1020
Dakota County,Nebraska,20920,32.6,20179,3495
Pleasants County,West Virginia,7602,42.8,21312,1028
Pocahontas County,West Virginia,8723,47.8,20373,1594
Preston County,West Virginia,33666,42.2,21457,4127
Putnam County,West Virginia,56033,41.7,27957,6281
Raleigh County,West Virginia,78993,40.8,21837,12851
Randolph County,West Virginia,29399,43.5,19595,4349
Ritchie County,West Virginia,10303,44.7,17843,2149
Roane County,West Virginia,14807,43,17341,3617
Summers County,West Virginia,13795,45.4,17416,2392
Taylor County,West Virginia,16906,43,20848,3140
Tucker County,West Virginia,7061,46.9,21126,1224
Tyler County,West Virginia,9120,45.4,20704,1798
Upshur County,West Virginia,24371,41.3,19498,4221
Wayne County,West Virginia,42007,42.1,19497,8313
Webster County,West Virginia,9073,45.1,17937,2259
Wetzel County,West Virginia,16435,45.3,21653,3219
Wirt County,West Virginia,5796,44.7,21852,1114
Wood County,West Virginia,86779,42.1,24042,13773
Wyoming County,West Virginia,23479,42.4,18377,4984
Adams County,Wisconsin,20741,50,22196,2048
Ashland County,Wisconsin,16068,41,21115,2886
Barron County,Wisconsin,45826,43.3,23337,5782
Bayfield County,Wisconsin,15071,50,25377,2012
Brown County,Wisconsin,250597,36.4,27787,27954
Buffalo County,Wisconsin,13466,44.4,24500,1590
Burnett County,Wisconsin,15449,49.9,22843,2596
Calumet County,Wisconsin,49288,38.6,28907,3116
Chippewa County,Wisconsin,62676,40.4,24628,6734
Clark County,Wisconsin,34630,37,20754,5060
Columbia County,Wisconsin,56647,41.7,28273,5116
Crawford County,Wisconsin,16578,45,22549,1988
Dane County,Wisconsin,496762,34.5,33712,62168
Dodge County,Wisconsin,88598,41,24573,7448
Door County,Wisconsin,27826,50.2,30657,2756
Douglas County,Wisconsin,43994,40,25129,6395
Dunn County,Wisconsin,43871,33.7,22499,6353
Eau Claire County,Wisconsin,99788,33.5,25287,14928
Florence County,Wisconsin,4477,49.1,22434,634
Fond du Lac County,Wisconsin,101666,40.5,26368,9628
Forest County,Wisconsin,9255,44.7,20462,1484
Grant County,Wisconsin,51080,36.5,21705,7793
Green County,Wisconsin,36901,41.8,27060,3770
Green Lake County,Wisconsin,19042,44.8,25275,2166
Iowa County,Wisconsin,23709,41.9,26625,2295
Iron County,Wisconsin,5937,51.5,23324,951
Jackson County,Wisconsin,20506,42.4,21849,3228
Jefferson County,Wisconsin,83985,38.6,25625,9089
Juneau County,Wisconsin,26673,43.7,23343,3490
Kenosha County,Wisconsin,166874,36.8,26514,22761
Kewaunee County,Wisconsin,20578,42.5,25282,1918
La Crosse County,Wisconsin,115420,35.4,26271,15458
Lafayette County,Wisconsin,16841,41.4,23483,1952
Langlade County,Wisconsin,19838,46.4,22974,2818
Lincoln County,Wisconsin,28650,45.3,24669,3088
Manitowoc County,Wisconsin,81098,43.6,25825,7758
Marathon County,Wisconsin,134497,39.8,27607,14482
Marinette County,Wisconsin,41632,46.3,23555,5347
Marquette County,Wisconsin,15308,47.7,23490,2061
Menominee County,Wisconsin,4292,33.7,14710,1329
Milwaukee County,Wisconsin,950527,33.8,24295,200497
Monroe County,Wisconsin,44953,39,23456,6360
Oconto County,Wisconsin,37531,44.5,25941,3775
Oneida County,Wisconsin,35868,48.7,27041,3744
Outagamie County,Wisconsin,178013,37.6,28186,15239
Ozaukee County,Wisconsin,86708,43.4,42041,4478
Pepin County,Wisconsin,7417,44.3,24367,907
Pierce County,Wisconsin,40870,34.9,27462,4738
Polk County,Wisconsin,43905,43.2,25751,4682
Portage County,Wisconsin,70136,35.9,24972,9137
Price County,Wisconsin,14025,49.2,23723,2184
Racine County,Wisconsin,195045,39.3,27141,25333
Richland County,Wisconsin,17911,43.3,22778,2248
Rock County,Wisconsin,160345,38.6,24094,22420
Rusk County,Wisconsin,14571,46.7,21004,2673
St. Croix County,Wisconsin,84912,37.1,32220,6405
Sauk County,Wisconsin,62353,40.1,25988,6647
Sawyer County,Wisconsin,16542,47.8,23809,3046
Shawano County,Wisconsin,41776,43.7,23500,4704
Sheboygan County,Wisconsin,115235,40.7,26126,10649
Taylor County,Wisconsin,20633,42.3,23032,2827
Trempealeau County,Wisconsin,29098,40.9,25017,3386
Vernon County,Wisconsin,30002,41.7,22680,4287
Vilas County,Wisconsin,21401,51.4,26252,2807
Walworth County,Wisconsin,102619,38.3,27130,13306
Washburn County,Wisconsin,15842,48.1,24850,2142
Washington County,Wisconsin,132186,41.2,32020,8240
Waukesha County,Wisconsin,391200,42.4,37577,20818
Waupaca County,Wisconsin,52300,43.9,25956,5363
Waushara County,Wisconsin,24483,46.7,22888,2681
Winnebago County,Wisconsin,167860,37.7,26955,19475
Wood County,Wisconsin,74469,43.1,25961,8102
Albany County,Wyoming,36745,27,24758,8910
Big Horn County,Wyoming,11741,41.5,25119,1173
Campbell County,Wyoming,46901,32.1,33850,3590
Carbon County,Wyoming,15809,39.2,25947,1979
Converse County,Wyoming,13937,39.8,30941,1189
Crook County,Wyoming,7110,44.1,28212,473
Fremont County,Wyoming,40517,38.2,24037,5947
Goshen County,Wyoming,13458,42.8,23475,2309
Hot Springs County,Wyoming,4825,48.9,26544,562
Johnson County,Wyoming,8595,44.6,28072,641
Laramie County,Wyoming,93073,37,28505,9820
Lincoln County,Wyoming,18100,37.4,25834,1245
Natrona County,Wyoming,77343,36.3,29877,7497
Niobrara County,Wyoming,2495,45,26797,365
Park County,Wyoming,28557,43.1,27824,2271
Platte County,Wyoming,8701,46.7,26335,1380
Sheridan County,Wyoming,29376,42.1,27948,2497
Sublette County,Wyoming,10178,37.9,35944,621
Sweetwater County,Wyoming,44437,33.2,30517,4957
Teton County,Wyoming,21575,37,43444,1764
Uinta County,Wyoming,21040,34.4,25513,2778
Washakie County,Wyoming,8468,42.8,28308,1009
Weston County,Wyoming,7153,41.8,28764,766
Adjuntas Municipio,Puerto Rico,19334,36.6,7235,11543
Aguada Municipio,Puerto Rico,41595,38.6,8452,22590
Aguadilla Municipio,Puerto Rico,59982,38.3,9184,29041
Aguas Buenas Municipio,Puerto Rico,28378,36,8058,15171
Aibonito Municipio,Puerto Rico,25560,37.6,8955,12122
Arecibo Municipio,Puerto Rico,95185,39.3,9529,44420
Arroyo Municipio,Puerto Rico,19443,35.6,8208,10037
Barceloneta Municipio,Puerto Rico,24884,36.1,7877,13464
Barranquitas Municipio,Puerto Rico,30218,33.1,7287,17444
Cabo Rojo Municipio,Puerto Rico,50869,40.1,9257,25022
Caguas Municipio,Puerto Rico,141600,37.7,12852,52659
Camuy Municipio,Puerto Rico,34806,37.9,9112,15541
Carolina Municipio,Puerto Rico,173994,38.4,14605,52019
Cayey Municipio,Puerto Rico,47700,38.2,11986,18599
Ceiba Municipio,Puerto Rico,13419,38.4,9444,5645
Ciales Municipio,Puerto Rico,18509,37.1,6488,11188
Cidra Municipio,Puerto Rico,43238,36.6,11341,16751
Coamo Municipio,Puerto Rico,40579,35.6,8912,20729
Corozal Municipio,Puerto Rico,36828,35.4,7879,19418
Culebra Municipio,Puerto Rico,1478,38.4,8142,792
Dorado Municipio,Puerto Rico,38303,37.5,14374,13665
Fajardo Municipio,Puerto Rico,36252,37.9,10703,15042
Florida Municipio,Puerto Rico,12645,36.2,7184,6920
Guayama Municipio,Puerto Rico,44725,35.3,9116,21311
Guayanilla Municipio,Puerto Rico,21218,36.6,7532,11232
Guaynabo Municipio,Puerto Rico,96670,40.3,21584,26045
Gurabo Municipio,Puerto Rico,46084,36,13898,16229
Hatillo Municipio,Puerto Rico,41932,37.9,9428,19332
Hormigueros Municipio,Puerto Rico,17151,42.4,10609,5564
Humacao Municipio,Puerto Rico,57823,38.7,10927,24633
Isabela Municipio,Puerto Rico,45315,38.4,8067,24904
Jayuya Municipio,Puerto Rico,16413,33.9,7879,8467
Juncos Municipio,Puerto Rico,40346,35,9404,18634
Lajas Municipio,Puerto Rico,25442,39.5,6715,15547
Lares Municipio,Puerto Rico,30051,38.1,6609,18512
Las Piedras Municipio,Puerto Rico,38777,35.9,9386,18924
Luquillo Municipio,Puerto Rico,19918,38.4,10408,8580
Maricao Municipio,Puerto Rico,6552,37,6368,3696
Maunabo Municipio,Puerto Rico,12070,39.1,8134,6765
Moca Municipio,Puerto Rico,39755,35.8,7701,20853
Morovis Municipio,Puerto Rico,32609,33.8,7060,18201
Naguabo Municipio,Puerto Rico,26867,34.7,9058,13837
Naranjito Municipio,Puerto Rico,30256,35.8,8895,15515
Orocovis Municipio,Puerto Rico,23194,35.1,6668,13915
Patillas Municipio,Puerto Rico,19017,39.4,7851,10561
Ponce Municipio,Puerto Rico,162793,37.3,10088,81201
Quebradillas Municipio,Puerto Rico,25738,37.4,7348,14663
Sabana Grande Municipio,Puerto Rico,24974,38.8,8049,12362
Salinas Municipio,Puerto Rico,30807,35.4,7759,17739
San Juan Municipio,Puerto Rico,387336,39.4,16674,152821
San Lorenzo Municipio,Puerto Rico,40701,37.3,9929,18907
Santa Isabel Municipio,Puerto Rico,23231,34.3,9412,11382
Toa Alta Municipio,Puerto Rico,74561,34.8,12584,26174
Toa Baja Municipio,Puerto Rico,88195,36.3,11562,33480
Trujillo Alto Municipio,Puerto Rico,73970,36.8,14915,21842
Utuado Municipio,Puerto Rico,32593,38.6,7408,18145
Vega Alta Municipio,Puerto Rico,39856,35.8,9257,19791
Vega Baja Municipio,Puerto Rico,58782,37,9017,29556
Vieques Municipio,Puerto Rico,9273,41.8,8370,3983
Villalba Municipio,Puerto Rico,25618,34.4,7997,13629
Yabucoa Municipio,Puerto Rico,37404,37.6,7956,19161
Yauco Municipio,Puerto Rico,41194,39.2,7491,22137
Mellette County,South Dakota,2072,34.7,15760,745
Miner County,South Dakota,2355,45.6,31288,216
Minnehaha County,South Dakota,173108,34.7,26380,18462
Moody County,South Dakota,6460,40.8,27682,764
Pennington County,South Dakota,102752,36.8,27000,13440
Perkins County,South Dakota,2943,49.8,25751,408
Potter County,South Dakota,2323,51,26180,293
Roberts County,South Dakota,10210,39.4,22670,1959
Sanborn County,South Dakota,2348,46.6,25823,277
Shannon County,South Dakota,13829,24.1,8768,7247
Spink County,South Dakota,6522,44.2,27757,830
Stanley County,South Dakota,2966,40.7,30933,299
Sully County,South Dakota,1420,46.9,30218,81
Todd County,South Dakota,9783,23,10575,4270
Tripp County,South Dakota,5571,44.8,23270,1116
Turner County,South Dakota,8344,44,25406,748
Union County,South Dakota,14575,39.9,36167,631
Walworth County,South Dakota,5477,46.7,25915,576
Yankton County,South Dakota,22518,41.1,27268,2772
Ziebach County,South Dakota,2821,26,12339,1172
Anderson County,Tennessee,75263,42.6,24561,13500
Bedford County,Tennessee,45339,36.9,19303,8958
Benton County,Tennessee,16398,46.1,18456,3579
Bledsoe County,Tennessee,12853,42.9,15747,2604
Blount County,Tennessee,123722,41.8,23788,16633
Bradley County,Tennessee,100070,38.5,21649,19118
Campbell County,Tennessee,40553,42,16812,9478
Cannon County,Tennessee,13790,41.5,20566,2418
Carroll County,Tennessee,28525,42.3,18330,5534
Carter County,Tennessee,57438,42.8,19018,12736
Cheatham County,Tennessee,39213,39.9,23459,5370
Chester County,Tennessee,17151,36.9,18817,3185
Claiborne County,Tennessee,31915,41.2,18583,7078
Clay County,Tennessee,7816,45.3,16867,1590
Cocke County,Tennessee,35596,43.3,17476,9176
Coffee County,Tennessee,53011,39.4,20357,10928
Crockett County,Tennessee,14576,40.4,18664,2697
Cumberland County,Tennessee,56589,48.8,21141,9830
Davidson County,Tennessee,638395,34.1,28467,113690
Decatur County,Tennessee,11695,44.8,25368,2589
